type,key,summary,priority,status,updated,due,labels,fixversion,security
Vedlejší úkol,CUZKRUIAN-18502,"ISUI - soupis adres a portů, na kterých (po)běží služby na PROD",Kritická,Vyřešeno,2018-04-04T14:30:21.000+0200,2018-03-30,[],"[<JIRA Version: name='xRUIAN-2.4 (plán)', id='31530'>]",External
Vedlejší úkol,CUZKRUIAN-18501,SZR 30723 - Asynchroni E38 IszrRuianCtiSeznamZmen vraci 30 chybu Chyba na vystupu - nevalidni xml zprava ... [DB],Vysoká,Uzavřeno,2018-04-04T10:21:17.000+0200,,[],"[<JIRA Version: name='xRUIAN-2.4.a (plán)', id='33727'>, <JIRA Version: name='DB-RUIAN-2.4.0.3.01', id='33738'>, <JIRA Version: name='DB-VDP-2.4.0.3.01', id='33831'>]",External
Záruční vada,CUZKRUIAN-18500,SZR 30723 - Asynchroni E38 IszrRuianCtiSeznamZmen vraci 30 chybu Chyba na vystupu - nevalidni xml zprava ...,Vysoká,Uzavřeno,2018-04-04T10:13:06.000+0200,,[],"[<JIRA Version: name='xRUIAN-2.4.a (plán)', id='33727'>]",External
Úkol,CUZKRUIAN-18499,Release aplikací,Vysoká,Uzavřeno,2018-03-26T12:58:27.000+0200,,[],"[<JIRA Version: name='xRUIAN-2.4 (plán)', id='31530'>]",Internal
Zlepšení,CUZKRUIAN-18498,Propagace změn StructParser do VDP (propagace RÚIAN změny v CUZKRUIAN-18496),Vysoká,Vyřešeno,2018-03-26T10:24:26.000+0200,,[],"[<JIRA Version: name='xRUIAN-2.4 (plán)', id='31530'>, <JIRA Version: name='JAVA-VDP-NEXT_VERSION', id='33819'>]",Internal
Zlepšení,CUZKRUIAN-18497,Propagace změn StructParser do ISÚI (propagace RÚIAN změny v CUZKRUIAN-18496),Kritická,Vyřešeno,2018-03-26T10:24:26.000+0200,,[],"[<JIRA Version: name='xRUIAN-2.4 (plán)', id='31530'>, <JIRA Version: name='JAVA-ISUI-NEXT_VERSION', id='33817'>]",Internal
Vedlejší úkol,CUZKRUIAN-18496,PROD - migrace RUIAN-2.4 - služba RuianCtiSeznamZmen,Blokující,Uzavřeno,2018-04-04T10:21:41.000+0200,,[],"[<JIRA Version: name='xRUIAN-2.4 (plán)', id='31530'>, <JIRA Version: name='JAVA-RUIAN-NEXT_VERSION', id='33818'>]",External
Chyba,CUZKRUIAN-18495,Dlouhe načitavani pri vyhledavani AM NZ,Vysoká,Uzavřeno,2018-03-26T16:14:23.000+0200,,[],"[<JIRA Version: name='xRUIAN-2.4 (plán)', id='31530'>, <JIRA Version: name='DB-ISUI-2.4.0.0.07', id='33815'>]",Internal
Vedlejší úkol,CUZKRUIAN-18494,PROD: Zastavená komunikační fronta ISÚI-RÚIAN 2018-03-22,Vysoká,Vyřešeno,2018-03-22T16:01:56.000+0100,,[],[],External
Vedlejší úkol,CUZKRUIAN-18493,Zastavená komunikační fronta ISUI na REF3 - 2018-03-21 - MIMO_PORADI,Vysoká,Vyřešeno,2018-03-22T13:16:10.000+0100,,[],[],External
Vedlejší úkol,CUZKRUIAN-18492,"RUIAN - soupis adres a portů, na kterých (po)běží služby na PROD",Vysoká,Vyřešeno,2018-03-23T12:04:01.000+0100,2018-03-22,[],"[<JIRA Version: name='xRUIAN-2.4 (plán)', id='31530'>]",External
Vedlejší úkol,CUZKRUIAN-18491,Upozornění při vyhledání adresních míst ve zvoleném VO,Vysoká,Otevřeno,2018-03-21T16:15:38.000+0100,,[],"[<JIRA Version: name='xRUIAN-2.5 (Plán)', id='32935'>]",External
Vedlejší úkol,CUZKRUIAN-18490,DEV - Logické schéma aplikační síťové komunikace,Nízká,Znovu otevřeno,2018-03-24T11:50:10.000+0100,,[],[],External
Provozní údržba na objednávku,CUZKRUIAN-18489,Logické schéma aplikační síťové komunikace,Vysoká,Otevřeno,2018-03-26T12:41:36.000+0200,,[],[],External
